pgID,pgChr,pgOrd,IM62,L1,S1
11,chr1,27.5,Migut.A00027.1.v2.0,,
27,chr1,28,Migut.A00028.1.v2.0,MgL1_01g00280.1,MgS1_01g00290.1
28,chr1,29,Migut.A00029.1.v2.0,MgL1_01g00290.1,MgS1_01g00300.1
29,chr1,30,Migut.A00030.1.v2.0,MgL1_01g00300.1,MgS1_01g00310.1
30,chr1,31,,,MgS1_01g00320.1
12,chr1,32,Migut.A00031.1.v2.0,,
31,chr1,32,,,MgS1_01g00330.1
32,chr1,33,,,MgS1_01g00340.1
33,chr1,34,Migut.A00032.1.v2.0,MgL1_01g00310.1,MgS1_01g00350.1
34,chr1,35,Migut.A00033.1.v2.0,MgL1_01g00320.1,MgS1_01g00360.1
35,chr1,36,Migut.A00034.1.v2.0,MgL1_01g00330.1,MgS1_01g00370.1
36,chr1,37,Migut.A00035.1.v2.0,MgL1_01g00340.1,MgS1_01g00380.1
37,chr1,38,Migut.A00036.1.v2.0,MgL1_01g00350.1,MgS1_01g00390.1
13,chr1,39,Migut.A00037.1.v2.0,,
38,chr1,39,,MgL1_01g00360.1,MgS1_01g00400.1
39,chr1,40,Migut.A00038.1.v2.0,MgL1_01g00370.1,MgS1_01g00410.1
14,chr1,40.5,Migut.A00039.1.v2.0|Migut.A00039.1.v2.0,MgL1_01g00380.1,
40,chr1,41,Migut.A00040.1.v2.0,MgL1_01g00390.1,MgS1_01g00420.1
41,chr1,42,,,MgS1_01g00430.1
42,chr1,43,,,MgS1_01g00440.1
43,chr1,44,Migut.A00041.1.v2.0,MgL1_01g00400.1,MgS1_01g00450.1
44,chr1,45,Migut.A00042.1.v2.0,MgL1_01g00410.1,MgS1_01g00460.1
45,chr1,46,Migut.A00043.1.v2.0,MgL1_01g00420.1,MgS1_01g00470.1
46,chr1,47,Migut.A00044.1.v2.0,MgL1_01g00430.1,MgS1_01g00480.1
47,chr1,48,Migut.A00045.1.v2.0,MgL1_01g00440.1,MgS1_01g00490.1
48,chr1,49,Migut.A00046.1.v2.0|Migut.A00046.2.v2.0+,MgL1_01g00450.1,MgS1_01g00500.1
49,chr1,50,Migut.A00047.1.v2.0,MgL1_01g00460.1,MgS1_01g00510.1
50,chr1,52,Migut.A00048.2.v2.0|Migut.A00048.1.v2.0+,MgL1_01g00470.1,MgS1_01g00530.1|MgS1_01g00520.1+
51,chr1,53,Migut.A00049.1.v2.0,MgL1_01g00480.1,MgS1_01g00540.1
52,chr1,54,Migut.A00050.1.v2.0,MgL1_01g00490.1,MgS1_01g00550.1
15,chr1,55,Migut.A00051.1.v2.0,,
53,chr1,55,,MgL1_01g00500.1,MgS1_01g00560.1
54,chr1,56,Migut.A00052.1.v2.0,MgL1_01g00510.1,MgS1_01g00570.1
55,chr1,57,Migut.A00053.1.v2.0,MgL1_01g00520.1,MgS1_01g00580.1
16,chr1,57.4,Migut.A00054.1.v2.0|Migut.A00054.1.v2.0|Migut.A00054.2.v2.0+|Migut.A00054.2.v2.0+,MgL1_01g00530.1,
56,chr1,58,Migut.A00055.1.v2.0,MgL1_01g00540.1,MgS1_01g00590.1
17,chr1,58.2,Migut.A00056.1.v2.0|Migut.A00056.1.v2.0,MgL1_01g00550.1,
18,chr1,58.6,,MgL1_01g00560.1,
19,chr1,58.6,Migut.A00057.1.v2.0,,
57,chr1,59,Migut.A00058.1.v2.0,MgL1_01g00570.1,MgS1_01g00600.1
20,chr1,59.6,,MgL1_01g00580.1,
58,chr1,60,Migut.A00059.1.v2.0,,MgS1_01g00610.1
21,chr1,60.2,Migut.A00060.1.v2.0|Migut.A00060.1.v2.0,MgL1_01g00590.1,
22,chr1,60.8,Migut.A00061.1.v2.0|Migut.A00061.1.v2.0,MgL1_01g00600.1,
59,chr1,61,Migut.A00062.3.v2.0|Migut.A00062.1.v2.0+|Migut.A00062.2.v2.0+,,MgS1_01g00620.1
23,chr1,61.4,,MgL1_01g00620.1,
60,chr1,62,Migut.A00063.1.v2.0|Migut.A00063.2.v2.0+,MgL1_01g00630.1,MgS1_01g00630.1
24,chr1,62.5,Migut.A00064.1.v2.0,,
61,chr1,63,Migut.A00065.1.v2.0,MgL1_01g00640.1,MgS1_01g00640.1
62,chr1,64,Migut.A00066.1.v2.0,MgL1_01g00650.1,MgS1_01g00650.1
63,chr1,65,,,MgS1_01g00660.1
64,chr1,66,Migut.A00067.1.v2.0,MgL1_01g00660.1,MgS1_01g00670.1
65,chr1,67,Migut.A00068.1.v2.0,MgL1_01g00670.1,MgS1_01g00680.1
25,chr1,68,Migut.A00069.1.v2.0,,
66,chr1,68,,,MgS1_01g00690.1
67,chr1,69,Migut.A00070.1.v2.0|Migut.A00070.2.v2.0+,MgL1_01g00680.1,MgS1_01g00700.1
26,chr1,69.6666666666667,Migut.A00071.1.v2.0|Migut.A00071.1.v2.0,MgL1_01g00690.1,
27,chr1,70,Migut.A00072.4.v2.0|Migut.A00072.2.v2.0+|Migut.A00072.3.v2.0+|Migut.A00072.1.v2.0+,MgL1_01g00700.1|MgL1_01g00700.1,
68,chr1,70,Migut.A00079.1.v2.0,MgL1_01g00750.1,MgS1_01g00710.1
28,chr1,70.5,Migut.A00073.1.v2.0,,
69,chr1,71,Migut.A00074.1.v2.0,MgL1_01g00710.1,MgS1_01g00720.1
29,chr1,71.25,Migut.A00075.1.v2.0,MgL1_01g00720.1|MgL1_01g00720.1,
30,chr1,71.5,Migut.A00076.1.v2.0,,
31,chr1,71.75,Migut.A00077.1.v2.0,MgL1_01g00730.1|MgL1_01g00730.1,
70,chr1,72,Migut.A00078.1.v2.0,MgL1_01g00740.1,MgS1_01g00730.1
71,chr1,73,Migut.A00080.1.v2.0,MgL1_01g00760.1,MgS1_01g00740.1
72,chr1,74,Migut.A00081.1.v2.0,MgL1_01g00770.1,MgS1_01g00750.1
73,chr1,75,Migut.A00082.1.v2.0,MgL1_01g00780.1,MgS1_01g00760.1
32,chr1,75.5,,MgL1_01g00790.1,
74,chr1,76,Migut.A00083.1.v2.0,MgL1_01g00800.1,MgS1_01g00770.1
33,chr1,76.3333333333333,Migut.A00084.1.v2.0,MgL1_01g00810.1|MgL1_01g00810.1,
34,chr1,76.6666666666667,Migut.A00085.1.v2.0|Migut.A00085.2.v2.0+|Migut.A00085.3.v2.0+|Migut.A00085.4.v2.0+|Migut.A00085.5.v2.0+,,
75,chr1,77,Migut.A00086.3.v2.0|Migut.A00086.2.v2.0+|Migut.A00086.1.v2.0+,MgL1_01g00820.1,MgS1_01g00780.1
76,chr1,78,Migut.A00087.1.v2.0,MgL1_01g00840.1|MgL1_01g00830.1+,MgS1_01g00790.1
77,chr1,79,Migut.A00088.1.v2.0,MgL1_01g00850.1,MgS1_01g00800.1
35,chr1,80,Migut.A00089.1.v2.0,,
78,chr1,80,,MgL1_01g00860.1,MgS1_01g00810.1
79,chr1,81,Migut.A00090.1.v2.0,MgL1_01g00870.1,MgS1_01g00820.1
80,chr1,82,Migut.A00091.1.v2.0,MgL1_01g00880.1,MgS1_01g00830.1
81,chr1,83,,MgL1_01g00890.1,MgS1_01g00840.1
82,chr1,84,Migut.A00092.1.v2.0,,MgS1_01g00850.1
83,chr1,85,Migut.A00093.1.v2.0,MgL1_01g00900.1,MgS1_01g00860.1
84,chr1,86,Migut.A00094.1.v2.0,MgL1_01g00910.1,MgS1_01g00870.1
36,chr1,86.25,Migut.A00095.1.v2.0|Migut.A00095.1.v2.0,MgL1_01g00920.1,
37,chr1,86.5,Migut.A00096.1.v2.0|Migut.A00096.1.v2.0,MgL1_01g00930.1,
38,chr1,86.75,Migut.A00097.1.v2.0|Migut.A00097.1.v2.0,MgL1_01g00940.1,
85,chr1,87,Migut.A00098.1.v2.0,MgL1_01g00950.1,MgS1_01g00880.1
86,chr1,88,,MgL1_01g00960.1,MgS1_01g00890.1
39,chr1,88.5,,MgL1_01g00970.1,
87,chr1,89,Migut.A00099.1.v2.0,MgL1_01g00980.1,MgS1_01g00900.1
40,chr1,89.5,,MgL1_01g00990.1,
88,chr1,90,Migut.A00101.1.v2.0|Migut.A00101.2.v2.0+,MgL1_01g01010.1,MgS1_01g00910.1
89,chr1,91,Migut.A00100.1.v2.0,MgL1_01g01000.1,MgS1_01g00920.1
90,chr1,92,,,MgS1_01g00930.1
91,chr1,93,,,MgS1_01g00940.1
92,chr1,94,Migut.A00102.1.v2.0,MgL1_01g01020.1,MgS1_01g00950.1
41,chr1,94.5,,MgL1_01g01030.1,
93,chr1,95,Migut.A00103.1.v2.0,MgL1_01g01040.1,MgS1_01g00960.1
94,chr1,96,Migut.A00104.1.v2.0,MgL1_01g01050.1,MgS1_01g00970.1
95,chr1,97,Migut.A00105.1.v2.0|Migut.A00105.2.v2.0+,MgL1_01g01060.1,MgS1_01g00980.1
96,chr1,98,Migut.A00106.4.v2.0|Migut.A00106.2.v2.0+|Migut.A00106.1.v2.0+|Migut.A00106.3.v2.0+,MgL1_01g01070.1,MgS1_01g00990.1
97,chr1,99,Migut.A00107.1.v2.0,MgL1_01g01080.1,MgS1_01g01000.1
42,chr1,100,Migut.A00108.1.v2.0,,
98,chr1,100,,MgL1_01g01090.1,MgS1_01g01010.1
99,chr1,101,Migut.A00109.1.v2.0|Migut.A00109.2.v2.0+,MgL1_01g01100.1,MgS1_01g01020.1
100,chr1,102,,MgL1_01g01110.1,MgS1_01g01030.1
101,chr1,103,Migut.A00110.2.v2.0|Migut.A00110.1.v2.0+,MgL1_01g01120.1,MgS1_01g01040.1
43,chr1,103.666666666667,,MgL1_01g01130.1,
102,chr1,104,Migut.A00112.1.v2.0|Migut.A00111.2.v2.0+|Migut.A00111.1.v2.0+,MgL1_01g01160.1,MgS1_01g01050.1
44,chr1,104.333333333333,,MgL1_01g01140.1,
103,chr1,105,,MgL1_01g01150.1,MgS1_01g01060.1
104,chr1,106,,MgL1_01g01170.1,MgS1_01g01070.1
105,chr1,107,Migut.A00113.1.v2.0,MgL1_01g01180.1,MgS1_01g01080.1
106,chr1,108,Migut.A00114.2.v2.0|Migut.A00114.1.v2.0+,MgL1_01g01190.1,MgS1_01g01090.1
107,chr1,109,Migut.A00115.1.v2.0,MgL1_01g01200.1,MgS1_01g01100.1
108,chr1,110,Migut.A00116.1.v2.0,MgL1_01g01210.1,MgS1_01g01110.1
109,chr1,111,Migut.A00117.1.v2.0,MgL1_01g01220.1,MgS1_01g01120.1
110,chr1,112,Migut.A00118.1.v2.0,MgL1_01g01230.1,MgS1_01g01130.1
111,chr1,113,Migut.A00119.1.v2.0,MgL1_01g01240.1,MgS1_01g01140.1
112,chr1,114,Migut.A00120.1.v2.0,MgL1_01g01250.1,MgS1_01g01150.1
45,chr1,114.25,Migut.A00121.1.v2.0|Migut.A00121.1.v2.0,MgL1_01g01260.1,
113,chr1,115,,MgL1_01g01270.1,MgS1_01g01160.1
114,chr1,116,Migut.A00125.1.v2.0|Migut.A00122.1.v2.0+,MgL1_01g01280.1,MgS1_01g01170.1
115,chr1,117,Migut.A00123.1.v2.0|Migut.A00238.1.v2.0,MgL1_01g01290.1,MgS1_01g01180.1
116,chr1,118,Migut.A00124.1.v2.0|Migut.A00239.1.v2.0,MgL1_01g01300.1,MgS1_01g01190.1
117,chr1,119,Migut.A00126.1.v2.0,MgL1_01g01310.1,MgS1_01g01200.1
118,chr1,120,,,MgS1_01g01210.1
119,chr1,121,,,MgS1_01g01220.1
120,chr1,122,Migut.A00127.1.v2.0,MgL1_01g01320.1,MgS1_01g01230.1
121,chr1,123,Migut.A00128.1.v2.0|Migut.A00128.2.v2.0+|Migut.A00128.3.v2.0+,MgL1_01g01330.1,MgS1_01g01240.1
122,chr1,124,Migut.A00129.1.v2.0,MgL1_01g01340.1,MgS1_01g01250.1
123,chr1,125,Migut.A00130.1.v2.0,MgL1_01g01350.1,MgS1_01g01260.1
124,chr1,126,Migut.A00131.1.v2.0,MgL1_01g01360.1,MgS1_01g01270.1
125,chr1,127,Migut.A00132.1.v2.0,MgL1_01g01370.1,MgS1_01g01280.1
46,chr1,127.5,Migut.A00133.1.v2.0,,
126,chr1,128,Migut.A00134.1.v2.0,MgL1_01g01380.1,MgS1_01g01290.1
127,chr1,129,Migut.A00135.1.v2.0,MgL1_01g01390.1,MgS1_01g01300.1
128,chr1,130,Migut.A00136.1.v2.0,MgL1_01g01400.1,MgS1_01g01310.1
129,chr1,131,Migut.A00137.1.v2.0,MgL1_01g01410.1,MgS1_01g01320.1
130,chr1,132,Migut.A00138.1.v2.0|Migut.A00138.2.v2.0+,MgL1_01g01420.1,MgS1_01g01330.1
131,chr1,133,Migut.A00139.1.v2.0|Migut.A00139.2.v2.0+,MgL1_01g01430.1,MgS1_01g01340.1
132,chr1,134,,,MgS1_01g01350.1
133,chr1,135,Migut.A00140.1.v2.0,,MgS1_01g01360.1
134,chr1,136,Migut.A00141.1.v2.0,MgL1_01g01440.1,MgS1_01g01370.1
135,chr1,137,Migut.A00142.1.v2.0,MgL1_01g01450.1,MgS1_01g01380.1
136,chr1,138,Migut.A00143.1.v2.0,MgL1_01g01460.1,MgS1_01g01390.1
137,chr1,139,Migut.A00144.1.v2.0,MgL1_01g01470.1,MgS1_01g01400.1
138,chr1,140,Migut.A00145.1.v2.0,MgL1_01g01480.1,MgS1_01g01410.1
139,chr1,141,Migut.A00146.1.v2.0,MgL1_01g01490.1,MgS1_01g01420.1
140,chr1,143,,MgL1_01g01510.1|MgL1_01g01500.1+,MgS1_01g01440.1|MgS1_01g01430.1+
141,chr1,144,Migut.A00147.1.v2.0,MgL1_01g01520.1,MgS1_01g01450.1
142,chr1,145,Migut.A00148.1.v2.0|Migut.A00148.2.v2.0+,MgL1_01g01530.1,MgS1_01g01460.1
143,chr1,146,Migut.A00149.1.v2.0,MgL1_01g01560.1|MgL1_01g01540.1+,MgS1_01g01470.1
47,chr1,146.5,,MgL1_01g01580.1,
144,chr1,147,Migut.A00151.1.v2.0|Migut.A00150.1.v2.0+,MgL1_01g01590.1|MgL1_01g01550.1+|MgL1_01g01570.1+,MgS1_01g01480.1
145,chr1,148,Migut.A00152.1.v2.0,MgL1_01g01600.1,MgS1_01g01490.1
146,chr1,149,Migut.A00153.1.v2.0,MgL1_01g01610.1,MgS1_01g01500.1
147,chr1,150,Migut.A00154.1.v2.0,MgL1_01g01620.1,MgS1_01g01510.1
148,chr1,151,Migut.A00155.1.v2.0,MgL1_01g01630.1,MgS1_01g01520.1
149,chr1,152,Migut.A00156.1.v2.0,MgL1_01g01640.1,MgS1_01g01530.1
150,chr1,153,,,MgS1_01g01540.1
151,chr1,154,Migut.A00157.1.v2.0,MgL1_01g01650.1,MgS1_01g01550.1
48,chr1,154.6,,MgL1_01g01660.1,
152,chr1,155,Migut.A00158.1.v2.0,,MgS1_01g01560.1
49,chr1,155.2,Migut.A00159.1.v2.0|Migut.A00159.1.v2.0|Migut.A00159.2.v2.0+|Migut.A00159.2.v2.0+,MgL1_01g01670.1,
50,chr1,155.8,Migut.A00160.1.v2.0|Migut.A00160.1.v2.0,MgL1_01g01690.1,
153,chr1,156,Migut.A00161.1.v2.0,MgL1_01g01700.1|MgL1_01g01680.1+,MgS1_01g01570.1
154,chr1,157,Migut.A00162.1.v2.0,MgL1_01g01710.1,MgS1_01g01580.1
155,chr1,158,Migut.A00163.3.v2.0|Migut.A00163.1.v2.0+|Migut.A00163.2.v2.0+,MgL1_01g01720.1,MgS1_01g01590.1
156,chr1,159,Migut.A00164.1.v2.0|Migut.A00164.2.v2.0+,MgL1_01g01730.1,MgS1_01g01600.1
157,chr1,160,Migut.A00165.1.v2.0,MgL1_01g01740.1,MgS1_01g01610.1
158,chr1,161,Migut.A00166.2.v2.0|Migut.A00166.1.v2.0+,MgL1_01g01750.1,MgS1_01g01620.1
159,chr1,162,Migut.A00167.1.v2.0,MgL1_01g01760.1,MgS1_01g01630.1
160,chr1,163,Migut.A00168.1.v2.0,MgL1_01g01770.1,MgS1_01g01640.1
161,chr1,164,Migut.A00169.2.v2.0|Migut.A00169.1.v2.0+,MgL1_01g01780.1,MgS1_01g01650.1
162,chr1,165,Migut.A00170.1.v2.0,MgL1_01g01790.1,MgS1_01g01660.1
163,chr1,166,Migut.A00171.1.v2.0,MgL1_01g01800.1,MgS1_01g01670.1
51,chr1,167,Migut.A00173.1.v2.0,,
52,chr1,167,Migut.A00174.1.v2.0|Migut.A00174.1.v2.0,MgL1_01g01810.1,
164,chr1,167,Migut.A00172.1.v2.0,,MgS1_01g01680.1
165,chr1,168,Migut.A00175.2.v2.0|Migut.A00175.1.v2.0+,MgL1_01g01820.1,MgS1_01g01690.1
166,chr1,169,Migut.A00176.2.v2.0|Migut.A00176.1.v2.0+,MgL1_01g01830.1,MgS1_01g01700.1
167,chr1,170,Migut.A00177.1.v2.0,MgL1_01g01840.1,MgS1_01g01710.1
168,chr1,171,Migut.A00178.1.v2.0|Migut.A00178.2.v2.0+,MgL1_01g01850.1,MgS1_01g01720.1
169,chr1,172,Migut.A00179.1.v2.0,MgL1_01g01860.1,MgS1_01g01730.1
170,chr1,173,,,MgS1_01g01740.1
171,chr1,174,Migut.A00180.1.v2.0,MgL1_01g01870.1,MgS1_01g01750.1
172,chr1,175,Migut.A00181.1.v2.0,MgL1_01g01880.1,MgS1_01g01760.1
173,chr1,176,Migut.A00182.1.v2.0,MgL1_01g01890.1,MgS1_01g01770.1
174,chr1,177,Migut.A00183.1.v2.0,MgL1_01g01910.1,MgS1_01g01780.1
53,chr1,177.5,,MgL1_01g01920.1,
54,chr1,177.666666666667,Migut.A00184.1.v2.0,,
175,chr1,178,,MgL1_01g01940.1|MgL1_01g01930.1+,MgS1_01g01790.1
55,chr1,178.333333333333,Migut.A00185.1.v2.0|Migut.A00185.2.v2.0+|Migut.A00185.3.v2.0+,,
176,chr1,179,Migut.A00186.1.v2.0,MgL1_01g01950.1,MgS1_01g01800.1
177,chr1,180,,,MgS1_01g01810.1
56,chr1,180.5,,MgL1_01g01960.1,
178,chr1,181,Migut.A00187.1.v2.0,,MgS1_01g01820.1
179,chr1,182,Migut.A00188.1.v2.0,MgL1_01g01970.1,MgS1_01g01830.1
57,chr1,182.5,Migut.A00189.1.v2.0,,
180,chr1,183,Migut.A00190.1.v2.0,MgL1_01g01980.1,MgS1_01g01840.1
181,chr1,184,Migut.A00191.1.v2.0,MgL1_01g01990.1,MgS1_01g01850.1
182,chr1,185,Migut.A00192.1.v2.0,MgL1_01g02000.1,MgS1_01g01860.1
183,chr1,186,Migut.A00193.2.v2.0|Migut.A00193.1.v2.0+,MgL1_01g02010.1,MgS1_01g01870.1
184,chr1,187,Migut.A00194.1.v2.0,MgL1_01g02020.1,MgS1_01g01880.1
185,chr1,188,Migut.A00195.1.v2.0,MgL1_01g02030.1,MgS1_01g01890.1
58,chr1,189,Migut.A00196.1.v2.0|Migut.A00196.1.v2.0,MgL1_01g02040.1,
186,chr1,189,,,MgS1_01g01900.1
187,chr1,190,Migut.A00197.1.v2.0,MgL1_01g02050.1,MgS1_01g01910.1
188,chr1,191,Migut.A00198.1.v2.0,MgL1_01g02060.1,MgS1_01g01920.1
189,chr1,192,Migut.A00199.1.v2.0,,MgS1_01g01930.1
190,chr1,193,,,MgS1_01g01940.1
191,chr1,194,Migut.A00200.1.v2.0,MgL1_01g02070.1,MgS1_01g01950.1
59,chr1,194.5,Migut.A00201.1.v2.0,,
192,chr1,195,,,MgS1_01g01960.1
60,chr1,195.75,Migut.A00202.1.v2.0|Migut.A00202.2.v2.0+,,
193,chr1,196,,,MgS1_01g01970.1
194,chr1,197,Migut.A00203.1.v2.0,MgL1_01g02080.1,MgS1_01g01980.1
61,chr1,197.5,,MgL1_01g02090.1,
195,chr1,198,Migut.A00204.1.v2.0,MgL1_01g02100.1,MgS1_01g01990.1
196,chr1,199,Migut.A00205.1.v2.0,MgL1_01g02110.1,MgS1_01g02000.1
197,chr1,200,Migut.A00206.1.v2.0,MgL1_01g02120.1,MgS1_01g02010.1
198,chr1,201,,MgL1_01g02130.1,MgS1_01g02020.1
199,chr1,202,Migut.A00207.1.v2.0,,MgS1_01g02030.1
62,chr1,202.5,Migut.A00208.1.v2.0,MgL1_01g02140.1|MgL1_01g02140.1,
200,chr1,203,Migut.A00209.1.v2.0,,MgS1_01g02040.1
63,chr1,203.666666666667,,MgL1_01g02150.1,
201,chr1,205,,MgL1_01g02170.1,MgS1_01g02060.1
202,chr1,206,,,MgS1_01g02070.1
203,chr1,207,Migut.A00211.1.v2.0,MgL1_01g02180.1,MgS1_01g02080.1
204,chr1,208,Migut.A00212.1.v2.0|Migut.A00210.1.v2.0+,MgL1_01g02190.1|MgL1_01g02160.1+,MgS1_01g02090.1|MgS1_01g02050.1+
205,chr1,209,Migut.A00213.1.v2.0,MgL1_01g02200.1,MgS1_01g02100.1
206,chr1,210,Migut.A00214.1.v2.0,MgL1_01g02210.1,MgS1_01g02110.1
207,chr1,211,Migut.A00216.1.v2.0|Migut.A00215.1.v2.0+,MgL1_01g02220.1,MgS1_01g02120.1
64,chr1,212,Migut.A00217.1.v2.0,,
208,chr1,212,,MgL1_01g02230.1,MgS1_01g02130.1
209,chr1,213,Migut.A00218.3.v2.0|Migut.A00218.1.v2.0+|Migut.A00218.2.v2.0+,MgL1_01g02240.1,MgS1_01g02140.1
210,chr1,214,,MgL1_01g02250.1,MgS1_01g02150.1
65,chr1,214.5,,MgL1_01g02260.1,
211,chr1,215,Migut.A00219.1.v2.0|Migut.A00219.2.v2.0+,MgL1_01g02270.1,MgS1_01g02160.1
212,chr1,216,Migut.A00220.1.v2.0,MgL1_01g02280.1,MgS1_01g02170.1
66,chr1,216.5,Migut.A00221.1.v2.0,,
213,chr1,217,Migut.A00222.1.v2.0,MgL1_01g02290.1,MgS1_01g02180.1
214,chr1,218,Migut.A00223.1.v2.0|Migut.A00223.2.v2.0+,MgL1_01g02300.1,MgS1_01g02190.1
215,chr1,219,Migut.A00224.1.v2.0,MgL1_01g02310.1,MgS1_01g02200.1
216,chr1,220,Migut.A00225.1.v2.0|Migut.A00225.2.v2.0+,MgL1_01g02320.1,MgS1_01g02210.1
217,chr1,221,Migut.A00226.2.v2.0|Migut.A00226.1.v2.0+,,MgS1_01g02220.1
218,chr1,222,Migut.A00227.1.v2.0|Migut.A00227.2.v2.0+,MgL1_01g02330.1,MgS1_01g02230.1
67,chr1,222.5,Migut.A00228.1.v2.0|Migut.A00228.1.v2.0,MgL1_01g02340.1,
68,chr1,222.666666666667,Migut.A00229.1.v2.0|Migut.A00229.2.v2.0+,,
219,chr1,223,Migut.A00230.1.v2.0,MgL1_01g02350.1,MgS1_01g02250.1
220,chr1,224,Migut.A00231.1.v2.0,MgL1_01g02360.1,MgS1_01g02260.1
221,chr1,225,Migut.A00232.1.v2.0,MgL1_01g02370.1,MgS1_01g02270.1
69,chr1,225.5,Migut.A00233.1.v2.0,,
222,chr1,226,Migut.A00234.1.v2.0,MgL1_01g02380.1,MgS1_01g02280.1
223,chr1,227,Migut.A00235.2.v2.0|Migut.A00235.1.v2.0+,MgL1_01g02390.1,MgS1_01g02290.1
224,chr1,228,Migut.A00236.1.v2.0,MgL1_01g02400.1,MgS1_01g02300.1
225,chr1,229,Migut.A00237.1.v2.0,MgL1_01g02410.1,MgS1_01g02310.1
70,chr1,229.75,,MgL1_01g02420.1,
71,chr1,230.5,,MgL1_01g02440.1,
226,chr1,231,,,MgS1_01g02330.1
72,chr1,231.25,Migut.A00241.1.v2.0|Migut.A00241.1.v2.0,MgL1_01g02450.1,
227,chr1,232,Migut.A00242.2.v2.0|Migut.A00242.1.v2.0+,MgL1_01g02460.1,MgS1_01g02340.1
73,chr1,232.5,,MgL1_01g02470.1,
228,chr1,233,Migut.A00243.1.v2.0,MgL1_01g02480.1,MgS1_01g02350.1
229,chr1,234,Migut.A00244.1.v2.0,MgL1_01g02490.1,MgS1_01g02360.1
230,chr1,235,Migut.A00245.1.v2.0,MgL1_01g02500.1,MgS1_01g02370.1
231,chr1,236,Migut.A00246.1.v2.0|Migut.A00246.2.v2.0+,MgL1_01g02510.1,MgS1_01g02380.1
232,chr1,237,Migut.A00247.1.v2.0,MgL1_01g02520.1,MgS1_01g02390.1
233,chr1,238,Migut.A00248.1.v2.0,MgL1_01g02530.1,MgS1_01g02400.1
234,chr1,239,Migut.A00249.1.v2.0|Migut.A00249.2.v2.0+,MgL1_01g02540.1,MgS1_01g02410.1
74,chr1,239.666666666667,,MgL1_01g02550.1,
